item-name	item-description	listing-id	seller-sku	price	quantity	open-date	image-url	item-is-marketplace	product-id-type	zshop-shipping-fee	item-note	item-condition	zshop-category1	zshop-browse-path	zshop-storefront-feature	asin1	asin2	asin3	will-ship-internationally	expedited-shipping	zshop-boldface	product-id	bid-for-featured-placement	add-delete	pending-quantity	fulfillment-channel	merchant-shipping-group
USB C Cable, Techole [2 Pack] USB C Fast Charging Cables 3.3ft, Nylon Braided USB C to USB 3.0 Cable for Galaxy S8, the New MacBook, Nintendo Switch, Nexus 5X and More USB C Devices-Black		0410UUA8KZG	FirstTestProduct01	59.99	20	10/04/2018 17:53:09 AEST		y	3			11				B079GQ9XL6						697886386023			0	DEFAULT	Migrated Template
Luvable Friends Unisex 8 Pack Newborn Socks		0411U05KTTA	Sekiya-socks-001	39.99	10	11/04/2018 19:47:40 AEST		y	1			11				B01JHTFTC8						B01JHTFTC8			0	DEFAULT	Migrated Template
